,Account,Amount,Category,Date,Description,Memo,Original Description,Parent Category,Pending,Tags,Type
884,Business CheckingBusiness Checking,1500,Income,2018-06-29,Deposit,,Deposit9,Income,False,,Credit
885,Visa,1500,Income,2018-06-29,Deposit,,Deposit9,Income,False,,Credit
886,LOC Loan,1500,Income,2018-06-29,Deposit,,Deposit9,Income,False,,Credit
887,Home Loan,1500,Income,2018-06-29,Deposit,,Deposit9,Income,False,,Credit
888,Auto Loan,1500,Income,2018-06-29,Deposit,,Deposit9,Income,False,,Credit
889,MasterCard,1500,Income,2018-06-29,Deposit,,Deposit9,Income,False,,Credit
890,Personal Checking,1500,Income,2018-06-29,Deposit,,Deposit9,Income,False,,Credit
891,Personal Savings,1500,Income,2018-06-29,Deposit,,Deposit9,Income,False,,Credit
892,401K Account,1500,Investments,2018-06-29,Deposit,,Deposit9,Investments,False,,Credit
893,Business Savings,1500,Income,2018-06-29,Deposit,,Deposit9,Income,False,,Credit
918,4_D_D_Checking Account4_D_D_Checking Account,1590,Shopping,2018-06-26,Return Of Goods,,Return of Goods9,Shopping,False,,Credit
919,CD %%% Account,1590,Shopping,2018-06-26,Return Of Goods,,Return of Goods9,Shopping,False,,Credit
920,Visa,1590,Shopping,2018-06-26,Return Of Goods,,Return of Goods9,Shopping,False,,Credit
921,Auto Loan,1590,Shopping,2018-06-26,Return Of Goods,,Return of Goods9,Shopping,False,,Credit
922,Business Savings,1590,Shopping,2018-06-26,Return Of Goods,,Return of Goods9,Shopping,False,,Credit
923,401K Account,1590,Investments,2018-06-26,Return Of Goods,,Return of Goods9,Investments,False,,Credit
924,MasterCard,1590,Shopping,2018-06-26,Return Of Goods,,Return of Goods9,Shopping,False,,Credit
925,Personal Checking,1590,Shopping,2018-06-26,Return Of Goods,,Return of Goods9,Shopping,False,,Credit
926,Business CheckingBusiness Checking,1590,Shopping,2018-06-26,Return Of Goods,,Return of Goods9,Shopping,False,,Credit
927,Home Loan,1590,Shopping,2018-06-26,Return Of Goods,,Return of Goods9,Shopping,False,,Credit
928,LOC Loan,1590,Shopping,2018-06-26,Return Of Goods,,Return of Goods9,Shopping,False,,Credit
929,Personal Savings,1590,Shopping,2018-06-26,Return Of Goods,,Return of Goods9,Shopping,False,,Credit
954,CD %%% Account,1620,Income,2018-06-23,Deposit,,Deposit10,Income,False,,Credit
955,401K Account,1620,Investments,2018-06-23,Deposit,,Deposit10,Investments,False,,Credit
956,Auto Loan,1620,Income,2018-06-23,Deposit,,Deposit10,Income,False,,Credit
957,Visa,1620,Income,2018-06-23,Deposit,,Deposit10,Income,False,,Credit
958,Personal Savings,1620,Income,2018-06-23,Deposit,,Deposit10,Income,False,,Credit
959,4_D_D_Checking Account4_D_D_Checking Account,1620,Income,2018-06-23,Deposit,,Deposit10,Income,False,,Credit
960,Business CheckingBusiness Checking,1620,Income,2018-06-23,Deposit,,Deposit10,Income,False,,Credit
961,Personal Checking,1620,Income,2018-06-23,Deposit,,Deposit10,Income,False,,Credit
962,Business Savings,1620,Income,2018-06-23,Deposit,,Deposit10,Income,False,,Credit
963,MasterCard,1620,Income,2018-06-23,Deposit,,Deposit10,Income,False,,Credit
964,Home Loan,1620,Income,2018-06-23,Deposit,,Deposit10,Income,False,,Credit
965,LOC Loan,1620,Income,2018-06-23,Deposit,,Deposit10,Income,False,,Credit
990,MasterCard,1740,Shopping,2018-06-20,Return Of Goods,,Return of Goods10,Shopping,False,,Credit
991,Business Savings,1740,Shopping,2018-06-20,Return Of Goods,,Return of Goods10,Shopping,False,,Credit
992,401K Account,1740,Investments,2018-06-20,Return Of Goods,,Return of Goods10,Investments,False,,Credit
993,Personal Checking,1740,Shopping,2018-06-20,Return Of Goods,,Return of Goods10,Shopping,False,,Credit
994,Business CheckingBusiness Checking,1740,Shopping,2018-06-20,Return Of Goods,,Return of Goods10,Shopping,False,,Credit
995,Auto Loan,1740,Shopping,2018-06-20,Return Of Goods,,Return of Goods10,Shopping,False,,Credit
996,Visa,1740,Shopping,2018-06-20,Return Of Goods,,Return of Goods10,Shopping,False,,Credit
997,Home Loan,1740,Shopping,2018-06-20,Return Of Goods,,Return of Goods10,Shopping,False,,Credit
998,4_D_D_Checking Account4_D_D_Checking Account,1740,Shopping,2018-06-20,Return Of Goods,,Return of Goods10,Shopping,False,,Credit
999,Personal Savings,1740,Shopping,2018-06-20,Return Of Goods,,Return of Goods10,Shopping,False,,Credit
1000,CD %%% Account,1740,Shopping,2018-06-20,Return Of Goods,,Return of Goods10,Shopping,False,,Credit
1001,LOC Loan,1740,Shopping,2018-06-20,Return Of Goods,,Return of Goods10,Shopping,False,,Credit
1026,Personal Savings,1980,Income,2018-06-17,Deposit,,Deposit11,Income,False,,Credit
1027,401K Account,1980,Investments,2018-06-17,Deposit,,Deposit11,Investments,False,,Credit
1028,Business Savings,1980,Income,2018-06-17,Deposit,,Deposit11,Income,False,,Credit
1029,LOC Loan,1980,Income,2018-06-17,Deposit,,Deposit11,Income,False,,Credit
1030,Personal Checking,1980,Income,2018-06-17,Deposit,,Deposit11,Income,False,,Credit
1031,Home Loan,1980,Income,2018-06-17,Deposit,,Deposit11,Income,False,,Credit
1032,Auto Loan,1980,Income,2018-06-17,Deposit,,Deposit11,Income,False,,Credit
1033,Visa,1980,Income,2018-06-17,Deposit,,Deposit11,Income,False,,Credit
1034,CD %%% Account,1980,Income,2018-06-17,Deposit,,Deposit11,Income,False,,Credit
1035,4_D_D_Checking Account4_D_D_Checking Account,1980,Income,2018-06-17,Deposit,,Deposit11,Income,False,,Credit
1036,Business CheckingBusiness Checking,1980,Income,2018-06-17,Deposit,,Deposit11,Income,False,,Credit
1037,MasterCard,1980,Income,2018-06-17,Deposit,,Deposit11,Income,False,,Credit
1062,Personal Checking,1860,Shopping,2018-06-14,Return Of Goods,,Return of Goods11,Shopping,False,,Credit
1063,Business Savings,1860,Shopping,2018-06-14,Return Of Goods,,Return of Goods11,Shopping,False,,Credit
1064,Business CheckingBusiness Checking,1860,Shopping,2018-06-14,Return Of Goods,,Return of Goods11,Shopping,False,,Credit
1065,Visa,1860,Shopping,2018-06-14,Return Of Goods,,Return of Goods11,Shopping,False,,Credit
1066,4_D_D_Checking Account4_D_D_Checking Account,1860,Shopping,2018-06-14,Return Of Goods,,Return of Goods11,Shopping,False,,Credit
1067,Personal Savings,1860,Shopping,2018-06-14,Return Of Goods,,Return of Goods11,Shopping,False,,Credit
1068,LOC Loan,1860,Shopping,2018-06-14,Return Of Goods,,Return of Goods11,Shopping,False,,Credit
1069,MasterCard,1860,Shopping,2018-06-14,Return Of Goods,,Return of Goods11,Shopping,False,,Credit
1070,Auto Loan,1860,Shopping,2018-06-14,Return Of Goods,,Return of Goods11,Shopping,False,,Credit
1071,CD %%% Account,1860,Shopping,2018-06-14,Return Of Goods,,Return of Goods11,Shopping,False,,Credit
1072,Home Loan,1860,Shopping,2018-06-14,Return Of Goods,,Return of Goods11,Shopping,False,,Credit
1073,401K Account,1860,Investments,2018-06-14,Return Of Goods,,Return of Goods11,Investments,False,,Credit
1098,Visa,2070,Income,2018-06-11,Deposit,,Deposit12,Income,False,,Credit
1099,Personal Checking,2070,Income,2018-06-11,Deposit,,Deposit12,Income,False,,Credit
1100,Home Loan,2070,Income,2018-06-11,Deposit,,Deposit12,Income,False,,Credit
1101,Personal Savings,2070,Income,2018-06-11,Deposit,,Deposit12,Income,False,,Credit
1102,4_D_D_Checking Account4_D_D_Checking Account,2070,Income,2018-06-11,Deposit,,Deposit12,Income,False,,Credit
1103,Auto Loan,2070,Income,2018-06-11,Deposit,,Deposit12,Income,False,,Credit
1104,401K Account,2070,Investments,2018-06-11,Deposit,,Deposit12,Investments,False,,Credit
1105,MasterCard,2070,Income,2018-06-11,Deposit,,Deposit12,Income,False,,Credit
1106,LOC Loan,2070,Income,2018-06-11,Deposit,,Deposit12,Income,False,,Credit
1107,CD %%% Account,2070,Income,2018-06-11,Deposit,,Deposit12,Income,False,,Credit
1108,Business Savings,2070,Income,2018-06-11,Deposit,,Deposit12,Income,False,,Credit
1109,Business CheckingBusiness Checking,2070,Income,2018-06-11,Deposit,,Deposit12,Income,False,,Credit
1134,Business CheckingBusiness Checking,2130,Shopping,2018-06-08,Return Of Goods,,Return of Goods12,Shopping,False,,Credit
1135,Personal Savings,2130,Shopping,2018-06-08,Return Of Goods,,Return of Goods12,Shopping,False,,Credit
1136,LOC Loan,2130,Shopping,2018-06-08,Return Of Goods,,Return of Goods12,Shopping,False,,Credit
1137,Auto Loan,2130,Shopping,2018-06-08,Return Of Goods,,Return of Goods12,Shopping,False,,Credit
1138,CD %%% Account,2130,Shopping,2018-06-08,Return Of Goods,,Return of Goods12,Shopping,False,,Credit
1139,4_D_D_Checking Account4_D_D_Checking Account,2130,Shopping,2018-06-08,Return Of Goods,,Return of Goods12,Shopping,False,,Credit
1140,401K Account,2130,Investments,2018-06-08,Return Of Goods,,Return of Goods12,Investments,False,,Credit
1141,Business Savings,2130,Shopping,2018-06-08,Return Of Goods,,Return of Goods12,Shopping,False,,Credit
1142,Personal Checking,2130,Shopping,2018-06-08,Return Of Goods,,Return of Goods12,Shopping,False,,Credit
1143,Home Loan,2130,Shopping,2018-06-08,Return Of Goods,,Return of Goods12,Shopping,False,,Credit
1144,MasterCard,2130,Shopping,2018-06-08,Return Of Goods,,Return of Goods12,Shopping,False,,Credit
1145,Visa,2130,Shopping,2018-06-08,Return Of Goods,,Return of Goods12,Shopping,False,,Credit
0,Visa,50,Uncategorized,2018-10-29,Insufficient Funds Charge,Transactions,Insufficient Funds Charge1,Uncategorized,False,,Debit
1,4_D_D_Checking Account4_D_D_Checking Account,50,Uncategorized,2018-10-29,Insufficient Funds Charge,Transactions,Insufficient Funds Charge1,Uncategorized,False,,Debit
2,LOC Loan,50,Uncategorized,2018-10-29,Insufficient Funds Charge,Transactions,Insufficient Funds Charge1,Uncategorized,False,,Debit
3,Personal Savings,50,Uncategorized,2018-10-29,Insufficient Funds Charge,Transactions,Insufficient Funds Charge1,Uncategorized,False,,Debit
4,Home Loan,50,Uncategorized,2018-10-29,Insufficient Funds Charge,Transactions,Insufficient Funds Charge1,Uncategorized,False,,Debit
5,Business CheckingBusiness Checking,50,Uncategorized,2018-10-29,Insufficient Funds Charge,Transactions,Insufficient Funds Charge1,Uncategorized,False,,Debit
6,Business Savings,50,Uncategorized,2018-10-29,Insufficient Funds Charge,Transactions,Insufficient Funds Charge1,Uncategorized,False,,Debit
7,401K Account,50,Investments,2018-10-29,Insufficient Funds Charge,Transactions,Insufficient Funds Charge1,Investments,False,,Debit
8,CD %%% Account,50,Uncategorized,2018-10-29,Insufficient Funds Charge,Transactions,Insufficient Funds Charge1,Uncategorized,False,,Debit
9,Auto Loan,50,Uncategorized,2018-10-29,Insufficient Funds Charge,Transactions,Insufficient Funds Charge1,Uncategorized,False,,Debit
10,MasterCard,50,Uncategorized,2018-10-29,Insufficient Funds Charge,Transactions,Insufficient Funds Charge1,Uncategorized,False,,Debit
11,4_D_D_Checking Account4_D_D_Checking Account,80,Uncategorized,2018-10-28,New Transaction Payee Null,Transactions,NEW Transaction-payee null,Uncategorized,False,,Debit
12,MasterCard,80,Uncategorized,2018-10-28,New Transaction Payee Null,Transactions,NEW Transaction-payee null,Uncategorized,False,,Debit
13,Visa,80,Uncategorized,2018-10-28,New Transaction Payee Null,Transactions,NEW Transaction-payee null,Uncategorized,False,,Debit
14,401K Account,80,Investments,2018-10-28,New Transaction Payee Null,Transactions,NEW Transaction-payee null,Investments,False,,Debit
15,CD %%% Account,80,Uncategorized,2018-10-28,New Transaction Payee Null,Transactions,NEW Transaction-payee null,Uncategorized,False,,Debit
16,Auto Loan,80,Uncategorized,2018-10-28,New Transaction Payee Null,Transactions,NEW Transaction-payee null,Uncategorized,False,,Debit
17,Home Loan,80,Uncategorized,2018-10-28,New Transaction Payee Null,Transactions,NEW Transaction-payee null,Uncategorized,False,,Debit
18,Business Savings,80,Uncategorized,2018-10-28,New Transaction Payee Null,Transactions,NEW Transaction-payee null,Uncategorized,False,,Debit
19,LOC Loan,80,Uncategorized,2018-10-28,New Transaction Payee Null,Transactions,NEW Transaction-payee null,Uncategorized,False,,Debit
20,Business CheckingBusiness Checking,80,Uncategorized,2018-10-28,New Transaction Payee Null,Transactions,NEW Transaction-payee null,Uncategorized,False,,Debit
21,Personal Savings,80,Uncategorized,2018-10-28,New Transaction Payee Null,Transactions,NEW Transaction-payee null,Uncategorized,False,,Debit
33,Auto Loan,90,Home,2018-10-26,Automatic Debit Memo,Memo2,Automatic Debit2 / Memo2,Home,False,,Debit
34,Business CheckingBusiness Checking,90,Home,2018-10-26,Automatic Debit Memo,Memo2,Automatic Debit2 / Memo2,Home,False,,Debit
35,CD %%% Account,90,Home,2018-10-26,Automatic Debit Memo,Memo2,Automatic Debit2 / Memo2,Home,False,,Debit
36,Home Loan,90,Home,2018-10-26,Automatic Debit Memo,Memo2,Automatic Debit2 / Memo2,Home,False,,Debit
37,MasterCard,90,Home,2018-10-26,Automatic Debit Memo,Memo2,Automatic Debit2 / Memo2,Home,False,,Debit
38,401K Account,90,Investments,2018-10-26,Automatic Debit Memo,Memo2,Automatic Debit2 / Memo2,Investments,False,,Debit
39,LOC Loan,90,Home,2018-10-26,Automatic Debit Memo,Memo2,Automatic Debit2 / Memo2,Home,False,,Debit
40,4_D_D_Checking Account4_D_D_Checking Account,90,Home,2018-10-26,Automatic Debit Memo,Memo2,Automatic Debit2 / Memo2,Home,False,,Debit
41,Visa,90,Home,2018-10-26,Automatic Debit Memo,Memo2,Automatic Debit2 / Memo2,Home,False,,Debit
42,Business Savings,90,Home,2018-10-26,Automatic Debit Memo,Memo2,Automatic Debit2 / Memo2,Home,False,,Debit
43,Personal Savings,90,Home,2018-10-26,Automatic Debit Memo,Memo2,Automatic Debit2 / Memo2,Home,False,,Debit
44,Auto Loan,110,Service Fee,2018-10-25,Service Charge,Transactions,Service Charge2,Fees & Charges,False,,Debit
45,Business CheckingBusiness Checking,110,Service Fee,2018-10-25,Service Charge,Transactions,Service Charge2,Fees & Charges,False,,Debit
46,Visa,110,Service Fee,2018-10-25,Service Charge,Transactions,Service Charge2,Fees & Charges,False,,Debit
47,CD %%% Account,110,Service Fee,2018-10-25,Service Charge,Transactions,Service Charge2,Fees & Charges,False,,Debit
48,401K Account,110,Service Fee,2018-10-25,Service Charge,Transactions,Service Charge2,Fees & Charges,False,,Debit
49,Business Savings,110,Service Fee,2018-10-25,Service Charge,Transactions,Service Charge2,Fees & Charges,False,,Debit
50,4_D_D_Checking Account4_D_D_Checking Account,110,Service Fee,2018-10-25,Service Charge,Transactions,Service Charge2,Fees & Charges,False,,Debit
51,Personal Savings,110,Service Fee,2018-10-25,Service Charge,Transactions,Service Charge2,Fees & Charges,False,,Debit
52,MasterCard,110,Service Fee,2018-10-25,Service Charge,Transactions,Service Charge2,Fees & Charges,False,,Debit
53,Home Loan,110,Service Fee,2018-10-25,Service Charge,Transactions,Service Charge2,Fees & Charges,False,,Debit
54,LOC Loan,110,Service Fee,2018-10-25,Service Charge,Transactions,Service Charge2,Fees & Charges,False,,Debit
55,Home Loan,120,Uncategorized,2018-10-23,Insufficient Funds Charge,Transactions,Insufficient Funds Charge2,Uncategorized,False,,Debit
56,Business Savings,120,Uncategorized,2018-10-23,Insufficient Funds Charge,Transactions,Insufficient Funds Charge2,Uncategorized,False,,Debit
57,LOC Loan,120,Uncategorized,2018-10-23,Insufficient Funds Charge,Transactions,Insufficient Funds Charge2,Uncategorized,False,,Debit
58,MasterCard,120,Uncategorized,2018-10-23,Insufficient Funds Charge,Transactions,Insufficient Funds Charge2,Uncategorized,False,,Debit
59,Business CheckingBusiness Checking,120,Uncategorized,2018-10-23,Insufficient Funds Charge,Transactions,Insufficient Funds Charge2,Uncategorized,False,,Debit
60,Personal Savings,120,Uncategorized,2018-10-23,Insufficient Funds Charge,Transactions,Insufficient Funds Charge2,Uncategorized,False,,Debit
61,Auto Loan,120,Uncategorized,2018-10-23,Insufficient Funds Charge,Transactions,Insufficient Funds Charge2,Uncategorized,False,,Debit
62,Visa,120,Uncategorized,2018-10-23,Insufficient Funds Charge,Transactions,Insufficient Funds Charge2,Uncategorized,False,,Debit
63,4_D_D_Checking Account4_D_D_Checking Account,120,Uncategorized,2018-10-23,Insufficient Funds Charge,Transactions,Insufficient Funds Charge2,Uncategorized,False,,Debit
64,CD %%% Account,120,Uncategorized,2018-10-23,Insufficient Funds Charge,Transactions,Insufficient Funds Charge2,Uncategorized,False,,Debit
65,401K Account,120,Investments,2018-10-23,Insufficient Funds Charge,Transactions,Insufficient Funds Charge2,Investments,False,,Debit
66,Home Loan,100,Uncategorized,2018-10-22,Memo,Memo3,Withdrawal3 / Memo3,Uncategorized,False,,Debit
67,Personal Savings,100,Uncategorized,2018-10-22,Memo,Memo3,Withdrawal3 / Memo3,Uncategorized,False,,Debit
68,401K Account,100,Investments,2018-10-22,Memo,Memo3,Withdrawal3 / Memo3,Investments,False,,Debit
69,Auto Loan,100,Uncategorized,2018-10-22,Memo,Memo3,Withdrawal3 / Memo3,Uncategorized,False,,Debit
70,Visa,100,Uncategorized,2018-10-22,Memo,Memo3,Withdrawal3 / Memo3,Uncategorized,False,,Debit
71,LOC Loan,100,Uncategorized,2018-10-22,Memo,Memo3,Withdrawal3 / Memo3,Uncategorized,False,,Debit
72,Business CheckingBusiness Checking,100,Uncategorized,2018-10-22,Memo,Memo3,Withdrawal3 / Memo3,Uncategorized,False,,Debit
73,CD %%% Account,100,Uncategorized,2018-10-22,Memo,Memo3,Withdrawal3 / Memo3,Uncategorized,False,,Debit
74,4_D_D_Checking Account4_D_D_Checking Account,100,Uncategorized,2018-10-22,Memo,Memo3,Withdrawal3 / Memo3,Uncategorized,False,,Debit
75,Business Savings,100,Uncategorized,2018-10-22,Memo,Memo3,Withdrawal3 / Memo3,Uncategorized,False,,Debit
76,MasterCard,100,Uncategorized,2018-10-22,Memo,Memo3,Withdrawal3 / Memo3,Uncategorized,False,,Debit
88,4_D_D_Checking Account4_D_D_Checking Account,170,Auto & Transport,2018-10-20,Automatic Debit #3821,Check,Automatic Debit3,Auto & Transport,False,,Debit
89,Business CheckingBusiness Checking,170,Auto & Transport,2018-10-20,Automatic Debit #3821,Check,Automatic Debit3,Auto & Transport,False,,Debit
90,Business Savings,170,Auto & Transport,2018-10-20,Automatic Debit,Check,Automatic Debit3,Auto & Transport,False,,Debit
91,401K Account,170,Investments,2018-10-20,Automatic Debit,Check,Automatic Debit3,Investments,False,,Debit
92,LOC Loan,170,Auto & Transport,2018-10-20,Automatic Debit,Check,Automatic Debit3,Auto & Transport,False,,Debit
93,Visa,170,Auto & Transport,2018-10-20,Automatic Debit,Check,Automatic Debit3,Auto & Transport,False,,Debit
94,Personal Savings,170,Auto & Transport,2018-10-20,Automatic Debit,Check,Automatic Debit3,Auto & Transport,False,,Debit
95,MasterCard,170,Auto & Transport,2018-10-20,Automatic Debit,Check,Automatic Debit3,Auto & Transport,False,,Debit
96,Home Loan,170,Auto & Transport,2018-10-20,Automatic Debit,Check,Automatic Debit3,Auto & Transport,False,,Debit
97,Auto Loan,170,Auto & Transport,2018-10-20,Automatic Debit,Check,Automatic Debit3,Auto & Transport,False,,Debit
98,CD %%% Account,170,Auto & Transport,2018-10-20,Automatic Debit,Check,Automatic Debit3,Auto & Transport,False,,Debit
99,Business CheckingBusiness Checking,150,Service Fee,2018-10-19,Service Charge,Transactions,Service Charge3,Fees & Charges,False,,Debit
100,Auto Loan,150,Service Fee,2018-10-19,Service Charge,Transactions,Service Charge3,Fees & Charges,False,,Debit
101,Personal Savings,150,Service Fee,2018-10-19,Service Charge,Transactions,Service Charge3,Fees & Charges,False,,Debit
102,4_D_D_Checking Account4_D_D_Checking Account,150,Service Fee,2018-10-19,Service Charge,Transactions,Service Charge3,Fees & Charges,False,,Debit
103,Business Savings,150,Service Fee,2018-10-19,Service Charge,Transactions,Service Charge3,Fees & Charges,False,,Debit
104,MasterCard,150,Service Fee,2018-10-19,Service Charge,Transactions,Service Charge3,Fees & Charges,False,,Debit
105,CD %%% Account,150,Service Fee,2018-10-19,Service Charge,Transactions,Service Charge3,Fees & Charges,False,,Debit
106,Home Loan,150,Service Fee,2018-10-19,Service Charge,Transactions,Service Charge3,Fees & Charges,False,,Debit
107,LOC Loan,150,Service Fee,2018-10-19,Service Charge,Transactions,Service Charge3,Fees & Charges,False,,Debit
108,Visa,150,Service Fee,2018-10-19,Service Charge,Transactions,Service Charge3,Fees & Charges,False,,Debit
109,401K Account,150,Service Fee,2018-10-19,Service Charge,Transactions,Service Charge3,Fees & Charges,False,,Debit
121,MasterCard,190,Uncategorized,2018-10-17,Insufficient Funds Charge,Transactions,Insufficient Funds Charge3,Uncategorized,False,,Debit
122,CD %%% Account,190,Uncategorized,2018-10-17,Insufficient Funds Charge,Transactions,Insufficient Funds Charge3,Uncategorized,False,,Debit
123,LOC Loan,190,Uncategorized,2018-10-17,Insufficient Funds Charge,Transactions,Insufficient Funds Charge3,Uncategorized,False,,Debit
124,401K Account,190,Investments,2018-10-17,Insufficient Funds Charge,Transactions,Insufficient Funds Charge3,Investments,False,,Debit
125,Business Savings,190,Uncategorized,2018-10-17,Insufficient Funds Charge,Transactions,Insufficient Funds Charge3,Uncategorized,False,,Debit
126,Visa,190,Uncategorized,2018-10-17,Insufficient Funds Charge,Transactions,Insufficient Funds Charge3,Uncategorized,False,,Debit
127,4_D_D_Checking Account4_D_D_Checking Account,190,Uncategorized,2018-10-17,Insufficient Funds Charge,Transactions,Insufficient Funds Charge3,Uncategorized,False,,Debit
128,Auto Loan,190,Uncategorized,2018-10-17,Insufficient Funds Charge,Transactions,Insufficient Funds Charge3,Uncategorized,False,,Debit
129,Personal Savings,190,Uncategorized,2018-10-17,Insufficient Funds Charge,Transactions,Insufficient Funds Charge3,Uncategorized,False,,Debit
130,Home Loan,190,Uncategorized,2018-10-17,Insufficient Funds Charge,Transactions,Insufficient Funds Charge3,Uncategorized,False,,Debit
131,Business CheckingBusiness Checking,190,Uncategorized,2018-10-17,Insufficient Funds Charge,Transactions,Insufficient Funds Charge3,Uncategorized,False,,Debit
132,CD %%% Account,200,Uncategorized,2018-10-16,Withdrawal4,Transactions,Withdrawal4,Uncategorized,False,,Debit
133,LOC Loan,200,Uncategorized,2018-10-16,Withdrawal4,Transactions,Withdrawal4,Uncategorized,False,,Debit
134,Business Savings,200,Uncategorized,2018-10-16,Withdrawal4,Transactions,Withdrawal4,Uncategorized,False,,Debit
135,MasterCard,200,Uncategorized,2018-10-16,Withdrawal4,Transactions,Withdrawal4,Uncategorized,False,,Debit
136,4_D_D_Checking Account4_D_D_Checking Account,200,Uncategorized,2018-10-16,Withdrawal4,Transactions,Withdrawal4,Uncategorized,False,,Debit
137,401K Account,200,Investments,2018-10-16,Withdrawal4,Transactions,Withdrawal4,Investments,False,,Debit
138,Home Loan,200,Uncategorized,2018-10-16,Withdrawal4,Transactions,Withdrawal4,Uncategorized,False,,Debit
139,Auto Loan,200,Uncategorized,2018-10-16,Withdrawal4,Transactions,Withdrawal4,Uncategorized,False,,Debit
140,Personal Savings,200,Uncategorized,2018-10-16,Withdrawal4,Transactions,Withdrawal4,Uncategorized,False,,Debit
141,Business CheckingBusiness Checking,200,Uncategorized,2018-10-16,Withdrawal4,Transactions,Withdrawal4,Uncategorized,False,,Debit
142,Visa,200,Uncategorized,2018-10-16,Withdrawal4,Transactions,Withdrawal4,Uncategorized,False,,Debit
154,Personal Savings,250,Service Fee,2018-10-13,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
155,LOC Loan,250,Service Fee,2018-10-13,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
156,401K Account,250,Service Fee,2018-10-13,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
157,4_D_D_Checking Account4_D_D_Checking Account,250,Service Fee,2018-10-13,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
158,Home Loan,250,Service Fee,2018-10-13,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
159,CD %%% Account,250,Service Fee,2018-10-13,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
160,MasterCard,250,Service Fee,2018-10-13,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
161,Business CheckingBusiness Checking,250,Service Fee,2018-10-13,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
162,Business Savings,250,Service Fee,2018-10-13,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
163,Personal Checking,250,Service Fee,2018-10-13,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
164,Visa,250,Service Fee,2018-10-13,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
165,Auto Loan,250,Service Fee,2018-10-13,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
166,Business Savings,250,Service Fee,2018-09-30,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
167,CD %%% Account,250,Service Fee,2018-09-30,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
168,Visa,250,Service Fee,2018-09-30,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
169,Business CheckingBusiness Checking,250,Service Fee,2018-09-30,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
170,4_D_D_Checking Account4_D_D_Checking Account,250,Service Fee,2018-09-30,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
171,Auto Loan,250,Service Fee,2018-09-30,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
172,LOC Loan,250,Service Fee,2018-09-30,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
173,Personal Checking,250,Service Fee,2018-09-30,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
174,401K Account,250,Service Fee,2018-09-30,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
175,Home Loan,250,Service Fee,2018-09-30,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
176,MasterCard,250,Service Fee,2018-09-30,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
177,Personal Savings,250,Service Fee,2018-09-30,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
178,Visa,250,Service Fee,2018-09-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
179,401K Account,250,Service Fee,2018-09-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
180,Personal Savings,250,Service Fee,2018-09-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
181,Personal Checking,250,Service Fee,2018-09-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
182,4_D_D_Checking Account4_D_D_Checking Account,250,Service Fee,2018-09-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
183,Business CheckingBusiness Checking,250,Service Fee,2018-09-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
184,Home Loan,250,Service Fee,2018-09-17,Service Charge Memo,Memo4,Service Charge4 / Memo4,Fees & Charges,False,,Debit
